ID,monthlyRent(us_dollar)
Test_0218,698.9659
Test_0219,142.45149
Test_0220,182.01706
Test_0221,351.50946
Test_0222,333.91904
Test_0223,280.80624
Test_0224,173.08493
Test_0225,130.40369
Test_0226,358.80527
Test_0227,76.29224
Test_0228,143.58951
Test_0229,257.881
Test_0230,323.91855
Test_0231,285.77634
Test_0232,185.90347
Test_0233,121.27301
Test_0234,114.71742
Test_0235,267.71585
Test_0236,194.25067
Test_0237,83.33848
Test_0238,155.21468
Test_0239,182.95438
Test_0240,363.32294
Test_0241,221.27873
Test_0242,162.29512
Test_0243,556.2185
Test_0244,378.0754
Test_0245,346.11966
Test_0246,407.8538
Test_0247,211.46199
Test_0248,415.76392
Test_0249,221.35664
Test_0250,434.4183
Test_0251,225.96144
Test_0252,115.10942
Test_0253,143.13675
Test_0254,152.2777
Test_0255,368.39877
Test_0256,302.30472
Test_0257,95.68178
Test_0258,532.8567
Test_0259,300.36783
Test_0260,602.87646
Test_0261,779.5564
Test_0262,845.79926
Test_0263,358.2935
Test_0264,150.78203
Test_0265,177.53123
Test_0266,191.39676
Test_0267,159.99947
Test_0268,198.46281
Test_0269,329.31393
Test_0270,312.4249
Test_0271,281.23535
Test_0272,117.706055
Test_0273,356.00293
Test_0274,278.3949
Test_0275,181.23337
Test_0276,162.97478
Test_0277,248.27594
Test_0278,885.06805
Test_0279,153.4549
Test_0280,298.581
Test_0281,484.41287
Test_0282,123.66217
Test_0283,256.62906
Test_0284,333.55566
Test_0285,189.664
Test_0286,169.20251
Test_0287,627.0007
Test_0288,191.52388
Test_0289,440.41635
Test_0290,718.2758
Test_0291,711.69495
Test_0292,102.88548
Test_0293,186.67896
Test_0294,267.69827
Test_0295,452.48392
Test_0296,360.45282
Test_0297,366.80786
Test_0298,232.89162
Test_0299,292.09247
Test_0300,866.95154
Test_0301,277.31717
Test_0302,184.49036
Test_0303,245.50986
Test_0304,202.77202
Test_0305,723.7865
Test_0306,374.47928
Test_0307,165.6052
Test_0308,138.41364
Test_0309,212.85164
Test_0310,205.6865
Test_0311,386.67508
Test_0312,324.38556
Test_0313,251.04097
Test_0314,179.14174
Test_0315,280.76743
Test_0316,359.40115
Test_0317,509.28058
Test_0318,115.30736
Test_0319,160.00554
Test_0320,131.5692
Test_0321,167.36378
Test_0322,306.36343
Test_0323,183.18803
Test_0324,613.48444
Test_0325,283.59628
Test_0326,298.5001
Test_0327,149.1742
Test_0328,240.39258
Test_0329,86.09394
Test_0330,237.26567
Test_0331,144.31635
Test_0332,290.42825
Test_0333,1147.1046
Test_0334,321.73907
Test_0335,336.6817
Test_0336,199.36487
Test_0337,390.09723
Test_0338,464.29807
Test_0339,422.00848
Test_0340,142.03087
Test_0341,383.87833
Test_0342,152.75314
Test_0343,272.64038
Test_0344,358.1711
Test_0345,416.0842
Test_0346,205.3188
Test_0347,330.99713
Test_0348,125.00222
Test_0349,275.67297
Test_0350,263.06854
Test_0351,356.18286
Test_0352,347.30676
Test_0353,236.42113
Test_0354,270.28714
Test_0355,166.66881
Test_0356,339.84134
Test_0357,514.01117
Test_0358,849.7102
Test_0359,390.0273
Test_0360,197.22372
Test_0361,242.34254
Test_0362,713.1289
Test_0363,176.19998
Test_0364,742.37085
Test_0365,929.7116
Test_0366,455.78198
Test_0367,399.2849
Test_0368,325.19235
Test_0369,187.82257
Test_0370,313.7013
Test_0371,1085.0127
Test_0372,230.50899
Test_0373,271.72098
Test_0374,383.4067
Test_0375,303.75494
Test_0376,266.56815
Test_0377,259.06497
Test_0378,184.05592
Test_0379,360.35034
Test_0380,639.50183
Test_0381,213.85757
Test_0382,799.8782
Test_0383,136.36415
Test_0384,783.0723
Test_0385,336.6817
Test_0386,305.94073
Test_0387,392.97885
Test_0388,137.57544
Test_0389,349.33353
Test_0390,97.75621
Test_0391,149.55614
Test_0392,212.19994
Test_0393,155.47305
Test_0394,127.37796
Test_0395,119.64971
Test_0396,273.28525
Test_0397,128.3231
Test_0398,404.39218
Test_0399,582.5675
Test_0400,276.70914
Test_0401,406.52576
Test_0402,227.38165
Test_0403,206.90869
Test_0404,381.7155
Test_0405,983.8725
Test_0406,107.487625
Test_0407,208.86353
Test_0408,165.98721
Test_0409,519.40515
Test_0410,611.33295
Test_0411,79.80494
Test_0412,1046.2048
Test_0413,189.87418
Test_0414,467.36783
Test_0415,388.88638
Test_0416,499.9217
Test_0417,258.7617
Test_0418,360.48123
Test_0419,400.78757
Test_0420,320.10583
Test_0421,374.7172
Test_0422,268.85413
Test_0423,450.24304
Test_0424,133.38254
Test_0425,80.39503
Test_0426,516.6921
Test_0427,789.51996
Test_0428,390.39337
Test_0429,135.7049
Test_0430,104.92249
Test_0431,244.75919
Test_0432,999.9272
Test_0433,192.92007
Test_0434,465.303
Test_0435,103.48309
Test_0436,378.63135
Test_0437,525.19055
Test_0438,249.46689
Test_0439,119.05633
Test_0440,180.08328
Test_0441,942.1674
Test_0442,295.87674
Test_0443,420.50037
Test_0444,227.0658
Test_0445,998.30853
Test_0446,268.2511
Test_0447,851.2754
Test_0448,226.231
Test_0449,173.19444
Test_0450,148.597
Test_0451,114.30138
Test_0452,391.52094
Test_0453,124.08584
Test_0454,135.26428
Test_0455,142.55714
Test_0456,403.1287
Test_0457,1142.9103
Test_0458,956.91266
Test_0459,149.84515
Test_0460,164.19673
Test_0461,193.94966
Test_0462,438.22665
Test_0463,496.90726
Test_0464,400.00012
Test_0465,168.92659
Test_0466,137.23239
Test_0467,336.6817
Test_0468,163.66228
Test_0469,173.93808
Test_0470,445.83133
Test_0471,289.40088
Test_0472,276.05173
Test_0473,496.90027
Test_0474,369.43582
Test_0475,284.18497
Test_0476,237.19034
Test_0477,98.76634
Test_0478,207.20117
Test_0479,160.51779
Test_0480,594.30835
Test_0481,226.50659
Test_0482,147.50017
Test_0483,318.9072
Test_0484,371.82077
Test_0485,630.65
Test_0486,890.05316
Test_0487,221.39612
Test_0488,440.8465
Test_0489,388.39948
Test_0490,143.35736
Test_0491,71.01178
Test_0492,130.27284
Test_0493,421.70724
Test_0494,273.98065
Test_0495,415.6029
Test_0496,448.79794
Test_0497,256.2607
Test_0498,122.95865
Test_0499,191.39638
Test_0500,298.4344
Test_0501,336.6817
Test_0502,397.458
Test_0503,176.94247
Test_0504,237.80363
Test_0505,124.085396
Test_0506,389.5224
Test_0507,236.78741
Test_0508,135.5612
Test_0509,180.68083
Test_0510,307.82376
Test_0511,247.77734
Test_0512,128.21362
Test_0513,187.42372
Test_0514,384.97253
Test_0515,390.2388
Test_0516,350.09036
Test_0517,126.05708
Test_0518,108.47514
Test_0519,207.65353
Test_0520,383.8517
Test_0521,181.08151
Test_0522,400.3079
Test_0523,140.41702
Test_0524,98.96364
Test_0525,201.37071
Test_0526,152.9831
Test_0527,166.05363
Test_0528,144.48253
Test_0529,318.70273
Test_0530,105.253174
Test_0531,199.1894
Test_0532,339.72165
Test_0533,198.3467
Test_0534,380.93497
Test_0535,370.64014
Test_0536,269.2089
Test_0537,214.83115
Test_0538,244.83884
Test_0539,226.06366
Test_0540,384.9898
Test_0541,358.09686
Test_0542,135.09406
Test_0543,205.49828
Test_0544,959.2081
Test_0545,125.2463
Test_0546,221.4
Test_0547,140.17447
Test_0548,716.69104
Test_0549,567.44867
Test_0550,568.9322
Test_0551,349.16452
Test_0552,206.0465
Test_0553,857.4421
Test_0554,516.33057
Test_0555,247.86096
Test_0556,379.99036
Test_0557,169.71165
Test_0558,131.62427
Test_0559,507.9569
Test_0560,421.63123
Test_0561,232.13979
Test_0562,155.2502
Test_0563,172.61598
Test_0564,284.65878
Test_0565,433.98578
Test_0566,408.63107
Test_0567,203.8242
Test_0568,276.52075
Test_0569,606.2956
Test_0570,508.52493
Test_0571,84.65687
Test_0572,489.50397
Test_0573,682.0224
Test_0574,169.58699
Test_0575,201.37071
Test_0576,172.54817
Test_0577,164.33972
Test_0578,259.81644
Test_0579,268.76172
Test_0580,116.62877
Test_0581,201.35745
Test_0582,260.1098
Test_0583,393.94275
Test_0584,291.42218
Test_0585,246.8829
Test_0586,103.27817
Test_0587,403.82797
Test_0588,383.88785
Test_0589,159.12523
Test_0590,154.54837
Test_0591,267.2469
Test_0592,212.92314
Test_0593,275.2151
Test_0594,201.37071
Test_0595,205.43716
Test_0596,394.6942
Test_0597,393.30325
Test_0598,743.809
Test_0599,174.83205
Test_0600,194.54175
Test_0601,145.90804
Test_0602,206.52917
Test_0603,150.99571
Test_0604,101.952034
Test_0605,452.1699
Test_0606,199.81941
Test_0607,154.87158
Test_0608,389.60715
Test_0609,154.58466
Test_0610,215.16048
Test_0611,424.36523
Test_0612,237.73299
Test_0613,336.6817
Test_0614,347.06247
Test_0615,313.01062
Test_0616,442.00574
Test_0617,135.09406
Test_0618,374.56525
Test_0619,233.18167
Test_0620,210.2335
Test_0621,310.31415
Test_0622,192.29482
Test_0623,378.0991
Test_0624,254.31503
Test_0625,207.53847
Test_0626,389.88834
Test_0627,162.14366
Test_0628,95.42476
Test_0629,133.1084
Test_0630,176.22398
Test_0631,215.97275
Test_0632,303.63187
Test_0633,381.2571
Test_0634,198.62189
Test_0635,122.51656
Test_0636,203.3253
Test_0637,186.85431
Test_0638,285.65005
Test_0639,374.2179
Test_0640,155.66553
Test_0641,412.5312
Test_0642,142.29729
Test_0643,177.62683
Test_0644,387.14368
Test_0645,296.88947
Test_0646,341.47858
Test_0647,338.32324
Test_0648,293.06873
Test_0649,366.1986
Test_0650,244.79509
Test_0651,1207.4752
Test_0652,517.2824
Test_0653,908.3219
Test_0654,89.64037
Test_0655,488.2987
Test_0656,1029.4032
Test_0657,115.34495
Test_0658,785.1009
Test_0659,180.10333
Test_0660,216.49506
Test_0661,379.66708
Test_0662,165.21085
Test_0663,294.77643
Test_0664,540.47504
Test_0665,185.68338
Test_0666,140.39919
Test_0667,454.6164
Test_0668,267.8275
Test_0669,213.55966
Test_0670,462.96454
Test_0671,359.59756
Test_0672,198.14198
Test_0673,518.70544
Test_0674,263.7997
Test_0675,131.50125
Test_0676,402.0539
Test_0677,355.94617
Test_0678,178.62738
Test_0679,175.4075
Test_0680,244.75919
Test_0681,775.2683
Test_0682,291.16284
Test_0683,105.245834
Test_0684,133.46918
Test_0685,332.98343
Test_0686,254.69885
Test_0687,96.58399
Test_0688,291.58844
Test_0689,217.64491
Test_0690,342.63177
Test_0691,269.2076
Test_0692,184.4567
Test_0693,385.44135
Test_0694,259.7019
Test_0695,156.8322
Test_0696,582.2187
Test_0697,189.69772
Test_0698,859.55426
Test_0699,310.61023
Test_0700,129.5181
Test_0701,390.0273
Test_0702,142.37614
Test_0703,270.62347
Test_0704,442.6534
Test_0705,443.10403
Test_0706,356.77066
Test_0707,166.0717
Test_0708,578.48083
Test_0709,114.699776
Test_0710,253.51071
Test_0711,128.30289
Test_0712,101.46278
Test_0713,180.53922
Test_0714,328.29056
Test_0715,1120.072
Test_0716,165.2245
Test_0717,301.8907
Test_0718,318.09473
Test_0719,182.78857
Test_0720,224.5262
Test_0721,366.5522
Test_0722,252.70148
Test_0723,225.89804
Test_0724,164.69873
Test_0725,380.11374
Test_0726,295.427
Test_0727,278.90152
Test_0728,377.58075
Test_0729,198.36855
Test_0730,136.66762
Test_0731,224.35155
Test_0732,288.2877
Test_0733,193.9149
Test_0734,171.85754
Test_0735,504.4027
Test_0736,286.43924
Test_0737,435.25702
Test_0738,412.3034
Test_0739,254.52231
Test_0740,375.22455
Test_0741,273.54327
Test_0742,257.96942
Test_0743,178.39493
Test_0744,164.12085
Test_0745,494.62286
Test_0746,291.72363
Test_0747,642.8799
Test_0748,174.89389
Test_0749,256.6656
Test_0750,193.33473
Test_0751,417.39832
Test_0752,970.26306
Test_0753,302.19495
Test_0754,264.97028
Test_0755,236.2991
Test_0756,110.58567
Test_0757,637.16504
Test_0758,1198.4246
Test_0759,215.67398
Test_0760,316.39664
Test_0761,133.90927
Test_0762,279.81454
Test_0763,303.03027
Test_0764,330.32538
Test_0765,151.00693
Test_0766,172.1943
Test_0767,106.18006
Test_0768,290.5457
Test_0769,272.39465
Test_0770,202.40887
Test_0771,422.19952
Test_0772,1008.8549
Test_0773,159.60452
Test_0774,337.54095
Test_0775,150.67186
Test_0776,153.97565
Test_0777,615.8058
Test_0778,1227.0447
Test_0779,83.48555
Test_0780,236.24539
Test_0781,113.13019
Test_0782,306.61264
Test_0783,484.7986
Test_0784,358.55347
Test_0785,654.9027
Test_0786,119.08854
Test_0787,86.92663
Test_0788,373.21606
Test_0789,108.79327
Test_0790,198.52304
Test_0791,364.08557
Test_0792,566.60394
Test_0793,272.34302
Test_0794,473.28073
Test_0795,78.62218
Test_0796,874.3564
Test_0797,151.79707
Test_0798,349.18036
Test_0799,387.89883
Test_0800,403.1158
Test_0801,581.88885
Test_0802,302.43652
Test_0803,524.3553
Test_0804,156.76619
Test_0805,137.75554
Test_0806,180.30016
Test_0807,338.08615
Test_0808,117.58371
Test_0809,358.77878
Test_0810,191.39638
Test_0811,498.37222
Test_0812,275.94125
Test_0813,173.09402
Test_0814,71.73754
Test_0815,249.74483
Test_0816,690.93665
Test_0817,112.79897
Test_0818,205.67148
Test_0819,242.14728
Test_0820,216.5339
Test_0821,157.1535
Test_0822,488.00348
Test_0823,276.7761
Test_0824,331.29297
Test_0825,1186.9364
Test_0826,375.20163
Test_0827,353.15573
Test_0828,217.37517
Test_0829,298.1305
Test_0830,164.2472
Test_0831,175.46638
Test_0832,345.4221
Test_0833,208.59198
Test_0834,485.02646
Test_0835,89.994705
Test_0836,168.84998
Test_0837,244.52608
Test_0838,206.29572
Test_0839,364.56842
Test_0840,62.883858
Test_0841,265.70395
Test_0842,138.64941
Test_0843,662.02045
Test_0844,173.39386
Test_0845,352.62463
Test_0846,274.00903
Test_0847,545.9855
Test_0848,191.10393
Test_0849,465.64166
Test_0850,108.26119
Test_0851,165.7628
Test_0852,402.09705
Test_0853,151.31879
Test_0854,896.9378
Test_0855,133.62677
Test_0856,76.78699
Test_0857,617.2082
Test_0858,357.17563
Test_0859,67.71621
Test_0860,200.07153
Test_0861,661.899
Test_0862,258.54333
Test_0863,290.02155
Test_0864,143.833
Test_0865,556.2185
Test_0866,185.52309
Test_0867,393.2282
Test_0868,224.70045
Test_0869,82.644585
Test_0870,258.19803
Test_0871,278.8997
Test_0872,322.3378
Test_0873,278.93433
Test_0874,337.91324
Test_0875,317.7616
Test_0876,205.89832
Test_0877,357.91302
Test_0878,280.43506
Test_0879,119.67845
Test_0880,247.8256
Test_0881,775.2683
Test_0882,155.55309
Test_0883,174.8511
Test_0884,376.96597
Test_0885,147.56052
Test_0886,265.46515
Test_0887,250.19771
Test_0888,112.12447
Test_0889,904.13995
Test_0890,117.56119
Test_0891,165.96404
Test_0892,186.20374
Test_0893,85.11105
Test_0894,372.0201
Test_0895,166.81075
Test_0896,314.80164
Test_0897,266.21606
Test_0898,291.13586
Test_0899,323.27405
Test_0900,196.85068
Test_0901,392.52954
Test_0902,311.6719
Test_0903,115.189026
Test_0904,170.43033
Test_0905,973.04224
Test_0906,377.6565
Test_0907,192.11176
Test_0908,99.175385
Test_0909,402.9738
Test_0910,312.55795
Test_0911,291.3782
Test_0912,185.7764
Test_0913,342.88287
Test_0914,387.43414
Test_0915,195.84683
Test_0916,180.88608
Test_0917,189.77017
Test_0918,274.7685
Test_0919,351.04395
Test_0920,394.66318
Test_0921,926.61554
Test_0922,329.38593
Test_0923,200.98663
Test_0924,762.0035
Test_0925,578.3332
Test_0926,611.4406
Test_0927,202.78973
Test_0928,180.83607
Test_0929,242.50726
Test_0930,341.7894
Test_0931,379.8951
Test_0932,187.95865
Test_0933,154.33035
Test_0934,332.96964
Test_0935,80.12562
Test_0936,214.26752
Test_0937,550.24335
Test_0938,117.76586
Test_0939,120.059364
Test_0940,656.8737
Test_0941,183.51097
Test_0942,118.8814
Test_0943,869.87146
Test_0944,188.42627
Test_0945,295.01508
Test_0946,236.37543
Test_0947,247.77939
Test_0948,295.22406
Test_0949,235.19745
Test_0950,292.0432
Test_0951,167.36484
Test_0952,162.219
Test_0953,357.54883
Test_0954,105.79616
Test_0955,323.32224
Test_0956,261.6807
Test_0957,215.77008
Test_0958,366.61234
Test_0959,276.72226
Test_0960,268.5989
Test_0961,179.67392
Test_0962,176.92412
Test_0963,317.29956
Test_0964,510.8468
Test_0965,240.84424
Test_0966,91.33332
Test_0967,161.93484
Test_0968,1221.2412
Test_0969,321.51004
Test_0970,936.0105
Test_0971,210.83504
Test_0972,897.3858
Test_0973,461.81995
Test_0974,396.0513
Test_0975,160.13187
Test_0976,372.21387
Test_0977,182.95438
Test_0978,138.43298
Test_0979,106.88309
Test_0980,198.36655
Test_0981,193.09183
Test_0982,372.15387
Test_0983,355.2119
Test_0984,396.6434
Test_0985,388.52252
Test_0986,174.5252
Test_0987,358.66495
Test_0988,439.56335
Test_0989,388.32986
Test_0990,461.38144
Test_0991,175.88512
Test_0992,357.18787
Test_0993,177.53123
Test_0994,301.1658
Test_0995,301.23904
Test_0996,211.95865
Test_0997,359.5783
Test_0998,153.85799
Test_0999,301.7326
Test_1000,372.21387
Test_1001,768.872
Test_1002,410.18454
Test_1003,397.73987
Test_1004,542.8317
Test_1005,237.64099
Test_1006,763.752
Test_1007,237.7242
Test_1008,116.84614
Test_1009,90.226776
Test_1010,244.65758
Test_1011,131.3326
Test_1012,1021.04395
Test_1013,381.31052
Test_1014,349.7781
Test_1015,84.243805
Test_1016,324.6673
Test_1017,192.92007
Test_1018,512.9209
Test_1019,339.70807
Test_1020,116.00363
Test_1021,197.6249
Test_1022,372.21387
Test_1023,376.13922
Test_1024,137.65765
Test_1025,572.0225
Test_1026,140.63277
Test_1027,127.68988
Test_1028,336.19965
Test_1029,197.07886
Test_1030,183.57425
Test_1031,165.89084
Test_1032,131.91241
Test_1033,150.3205
Test_1034,821.6932
Test_1035,330.57095
Test_1036,846.6804
Test_1037,132.41415
Test_1038,118.69091
Test_1039,1030.0083
Test_1040,396.2002
Test_1041,322.19827
Test_1042,430.60245
Test_1043,233.9001
Test_1044,116.16089
Test_1045,356.32715
Test_1046,183.58179
Test_1047,986.3435
Test_1048,255.48001
Test_1049,190.28645
Test_1050,209.36021
Test_1051,322.16232
Test_1052,292.33124
Test_1053,225.91936
Test_1054,373.2657
Test_1055,241.27309
Test_1056,213.45554
Test_1057,104.57679
Test_1058,127.29191
Test_1059,145.29683
Test_1060,209.3073
Test_1061,107.90968
Test_1062,273.68353
Test_1063,1440.2133
Test_1064,276.76672
Test_1065,237.46141
Test_1066,168.43839
Test_1067,257.31256
Test_1068,439.75095
Test_1069,110.88367
Test_1070,160.38809
Test_1071,141.03856
Test_1072,155.1336
Test_1073,158.62099
Test_1074,538.78424
Test_1075,194.28111
Test_1076,84.55009
Test_1077,236.59335
Test_1078,114.71742
Test_1079,302.4864
Test_1080,235.56792
Test_1081,183.47923
Test_1082,224.42198
Test_1083,471.58325
Test_1084,110.04237
Test_1085,438.49207
Test_1086,144.97739
Test_1087,713.1289
Test_1088,390.27408
Test_1089,164.74953
Test_1090,348.5599
Test_1091,164.09174
Test_1092,192.87808
Test_1093,659.16077
Test_1094,106.108765
Test_1095,397.18402
Test_1096,318.9925
Test_1097,153.58855
Test_1098,407.70218
Test_1099,530.81696
Test_1100,219.9789
Test_1101,863.5964
Test_1102,267.78287
Test_1103,242.49611
Test_1104,493.9592
Test_1105,336.6817
Test_1106,282.85406
Test_1107,183.41594
Test_1108,175.29169
Test_1109,254.50533
Test_1110,407.11337
Test_1111,132.08195
Test_1112,301.52164
Test_1113,242.51007
Test_1114,792.4426
Test_1115,70.42538
Test_1116,225.91936
Test_1117,237.14384
Test_1118,113.925865
Test_1119,152.67982
Test_1120,217.88358
Test_1121,109.31557
Test_1122,103.30473
Test_1123,163.35538
Test_1124,116.882614
Test_1125,124.833855
Test_1126,160.95901
Test_1127,449.9442
Test_1128,336.00577
Test_1129,403.8583
Test_1130,329.1229
Test_1131,552.9727
Test_1132,376.73114
Test_1133,381.80298
Test_1134,246.80156
Test_1135,301.66953
Test_1136,280.39478
Test_1137,126.995476
Test_1138,395.83734
Test_1139,331.194
Test_1140,110.019646
Test_1141,198.87604
Test_1142,161.2108
Test_1143,246.92334
Test_1144,218.59941
Test_1145,716.70807
Test_1146,211.04443
Test_1147,243.17805
Test_1148,267.1272
Test_1149,298.00687
Test_1150,336.6817
Test_1151,520.7706
Test_1152,203.28185
Test_1153,563.61005
Test_1154,122.24864
Test_1155,326.78262
Test_1156,358.17297
Test_1157,136.0676
Test_1158,183.84262
Test_1159,394.5737
Test_1160,168.59795
Test_1161,355.79443
Test_1162,146.07684
Test_1163,393.61285
Test_1164,483.7348
Test_1165,239.39154
Test_1166,332.971
Test_1167,77.15718
Test_1168,351.74194
Test_1169,375.4304
Test_1170,197.07886
Test_1171,505.74982
Test_1172,103.65184
Test_1173,178.41945
Test_1174,361.4963
Test_1175,392.3071
Test_1176,183.85118
Test_1177,193.36328
Test_1178,289.39856
Test_1179,81.67903
Test_1180,446.66547
Test_1181,812.7237
Test_1182,350.23746
Test_1183,531.30524
Test_1184,164.2472
Test_1185,149.69917
Test_1186,444.83087
Test_1187,158.11453
Test_1188,256.62802
Test_1189,416.3536
Test_1190,707.216
Test_1191,187.8179
Test_1192,580.76434
Test_1193,197.14868
Test_1194,339.16898
Test_1195,289.16428
Test_1196,163.1574
Test_1197,171.02098
Test_1198,187.79214
Test_1199,679.8734
Test_1200,141.55756
Test_1201,387.56677
Test_1202,132.53972
Test_1203,300.38632
Test_1204,915.27124
Test_1205,146.6205
Test_1206,498.66788
Test_1207,363.17444
Test_1208,132.00072
Test_1209,314.43967
Test_1210,356.31683
Test_1211,193.0915
Test_1212,420.00674
Test_1213,391.08154
Test_1214,314.64807
Test_1215,89.14589
Test_1216,754.3937
Test_1217,140.6838
Test_1218,326.69888
Test_1219,846.9814
Test_1220,161.97818
Test_1221,395.46747
Test_1222,190.48883
Test_1223,464.0889
Test_1224,323.62314
Test_1225,159.53197
Test_1226,1111.156
Test_1227,550.4208
Test_1228,1015.2391
Test_1229,735.0622
Test_1230,156.82777
Test_1231,290.18243
Test_1232,99.85965
Test_1233,201.15273
Test_1234,131.38889
Test_1235,244.62386
Test_1236,253.82901
Test_1237,205.49368
Test_1238,155.30649
Test_1239,516.33057
Test_1240,214.3765
Test_1241,662.02045
Test_1242,362.5551
Test_1243,401.72443
Test_1244,353.4752
Test_1245,190.89197
Test_1246,425.83105
Test_1247,368.90692
Test_1248,372.35764
Test_1249,208.94409
Test_1250,758.3132
Test_1251,347.87393
Test_1252,262.2627
Test_1253,450.7096
Test_1254,226.10567
Test_1255,109.48651
Test_1256,265.79922
Test_1257,370.73718
Test_1258,418.53943
Test_1259,700.4673
Test_1260,164.62285
Test_1261,289.12567
Test_1262,188.3038
Test_1263,219.77632
Test_1264,159.83543
Test_1265,173.34749
Test_1266,352.88892
Test_1267,371.94904
Test_1268,187.82654
Test_1269,329.0459
